name,brand,url,mainImageurl,SKU,Reviews,Rating,Model,retailer,storesku,omsid
2-1/2-ft 6 -Outlet Indoor White Power Strip,Project Source,https://www.lowes.com/pd/Project-Source-6-Outlet-Power-Strip-2-5ft-Cord-Right-Angle-Plug-Lighted-Switch-Project-Source/1002908264,https://mobileimages.lowes.com/productimages/b40e34fb-de64-4e9b-a4b5-718795812b88/62651390.jpg,598996,NULL,NULL,78603,Lowes,598996,1002908264
2-1/2-ft 6 -Outlet Indoor White Power Strip,Project Source,https://www.lowes.com/pd/Utilitech-6-Outlet-White-Power-Strip/50211131,https://mobileimages.lowes.com/productimages/900167d1-68b6-4712-8d01-d10c163e47bf/66642394.jpeg,598996,133,4.7,UTPB1119,Lowes,598996,50211131
"22"" Culinary Omnivore Griddle with Flexfold Legs 362-Sq. in Black powder-coated steel Portable Liquid propane Grill",Blackstone,https://www.lowes.com/pd/Blackstone-22-in-Culinary-Omnivore-2-Burner-Liquid-Propane-Flat-Top-Grill/5014606875,https://mobileimages.lowes.com/productimages/5ce5dda0-b5bd-491c-b321-bd6331772023/67037343.png,5506279,2021,4.5,2277,Lowes,5506279,5014606875
"22"" Culinary Omnivore Portable Griddle 361-Sq. in black powder-coated steel Portable Liquid propane Grill",Blackstone,https://www.lowes.com/pd/Blackstone-Culinary-2-Burner-Liquid-Propane-Flat-Top-Grill/5014595773,https://mobileimages.lowes.com/productimages/1648db22-3472-4e4c-b8ec-b89655a12495/65686880.jpg,5506295,774,4.6,2243,Lowes,5506295,5014595773
"22"" XL Black Liquid propane and wood pellet Combo Grill",Blackstone,https://www.lowes.com/pd/Blackstone-Blackstone-Culinary-Pellet-Griddle-Combo/5012925771,https://mobileimages.lowes.com/productimages/dceb76f9-717e-4d13-a8d4-4a184ea0b426/66448040.jpeg,3810063,2704,4.5,2022,Lowes,3810063,5012925771
"28"" Original Griddle with Hard Cover 2 -Burner Liquid propane Flat Top Grill",Blackstone,https://www.lowes.com/pd/Blackstone-Original-2-Burner-Liquid-Propane-Flat-Top-Grill/5015245865,https://mobileimages.lowes.com/productimages/ff2c3d96-7e34-481f-b0b3-d3af8f1d2dee/68844438.jpeg,6270109,1612,4.6,2388,Lowes,6270109,5015245865
28-in L x 8-in D x 15.5-in H Brown Laminate Rectangular Floating shelf 2 Decorative Shelves,allen + roth,https://www.lowes.com/pd/allen-roth-Brown-28-in-L-x-8-in-D-Laminate-Floating-Shelf/5005423567,https://mobileimages.lowes.com/productimages/58a70b73-5de6-4dee-841b-115985b22607/41430945.jpg,3592134,127,3.5,LWSWMSJ,Lowes,3592134,5005423567
2-HP 115 and 230 -Volt 75-Gallon Cast iron Lawn pump,Zoeller,https://www.lowes.com/pd/Zoeller-2-HPCast-Iron-Lawn-Pump/1000667319,https://mobileimages.lowes.com/productimages/c82a19ee-8ad9-4550-92de-0eaeebbd203c/10043043.jpg,955589,55,4.1,1333-0006,Lowes,955589,1000667319
2-Pair Value Pack Adult unisex Black Plastic Reading glasses,Hillman,https://www.lowes.com/pd/Hillman-Adult-Unisex-Black-Plastic/5005485011,https://mobileimages.lowes.com/productimages/225b159e-c349-437a-b997-0129a2bd42e0/68211853.jpeg,2743066,267,4.5,1HE86039,Lowes,2743066,5005485011
2-Pair Value Pack Adult unisex Black Plastic Reading glasses,Hillman,https://www.lowes.com/pd/Hillman-Adult-Unisex-Black-Plastic/5005485015,https://mobileimages.lowes.com/productimages/88c59ba9-1c8f-4f62-a872-dd1ecf0e82d9/68211822.jpeg,2743067,267,4.5,1HE86040,Lowes,2743067,5005485015
2-Pair Value Pack Adult unisex Black Plastic Reading glasses,Hillman,https://www.lowes.com/pd/Hillman-Retro-Black-2-5-Magnification-2-Pairs-2-Soft-Cases/5001940061,https://mobileimages.lowes.com/productimages/8b655bf9-e567-4ae0-8516-267798b04cd8/68211830.jpeg,3730125,267,4.5,1HE86042,Lowes,3730125,5001940061
3 -Hook 17.5-in x 6.5-in H White rail and chrome hooks Decorative Wall Hook ( 35-lb Capacity),allen + roth,https://www.lowes.com/pd/allen-roth-Allen-Roth-White-Black-3-Hooks-W-Ledge-17-5-in-Rail/5002184561,https://mobileimages.lowes.com/productimages/011559ae-d630-4803-8906-38afe585d570/41381411.jpg,3592117,16,4.8,46145CHXLG,Lowes,3592117,5002184561
3 -Pack 2.2 Fluid ounce(s) Laundry Stain Remover,OxiClean,https://www.lowes.com/pd/OxiClean-3-Pack-3-Count-Laundry-Stain-Remover/5012906133,https://mobileimages.lowes.com/productimages/e82c0504-925b-4124-b953-0efda2bf21f3/15993495.jpg,1065824,13,4.4,805752356418,Lowes,1065824,5012906133
3/4-HP 115 and 230 -Volt 15-Gallon Cast iron Shallow well jet pump,Zoeller,https://www.lowes.com/pd/Zoeller-0-75-HPCast-Iron-Shallow-Well-Jet-Pump/1000667231,https://mobileimages.lowes.com/productimages/0f1f0d74-73f2-4649-b512-dd3429f2d2a3/10041788.jpg,955550,59,4,1461-0006,Lowes,955550,1000667231
